O/F	temp	isp	mw	cstar	gamma
0.33553	1002.8	1836.0606920785463	17.059	1093.1	1.151
0.32662	990.36	1822.9591703529834	17.091	1085.3	1.151
0.31784	977.66	1809.521712172919	17.121	1077.3	1.151
0.30917	964.7	1795.7487195637145	17.149	1069.2	1.1512
0.30061	951.46	1781.5594904714253	17.174	1060.9	1.1515
0.29217	937.94	1767.2065293407484	17.198	1052.5	1.1518
0.28383	924.14	1752.3590820782256	17.219	1043.9	1.1523
0.27561	910.04	1737.1028564889107	17.237	1035.1	1.1529
0.26748	895.63	1721.688151850745	17.253	1026.2	1.1535
0.25946	880.92	1705.7897699044051	17.267	1017.1	1.1543
0.25154	865.89	1689.2460314668317	17.277	1007.7	1.1553
0.24372	850.53	1672.3845577434247	17.285	998.1	1.1563
0.236	834.83	1655.0543968357158	17.29	988.3	1.1575
0.22837	818.78	1637.2624910333975	17.292	978.3	1.1589
0.22083	802.37	1618.922224538107	17.291	968.0	1.1604
0.21339	785.58	1599.7987916143964	17.287	957.3	1.1621
0.20604	768.4	1580.2349307880581	17.279	946.4	1.164
0.19877	750.82	1559.8360272088007	17.269	935.1	1.1662
0.19159	732.81	1538.9184423107063	17.255	923.5	1.1685
0.1845	714.36	1517.0216932736855	17.239	911.4	1.1711
0.17749	695.44	1494.3277210684862	17.219	898.9	1.174
0.17057	676.05	1470.6863223062937	17.196	885.9	1.1772
0.16372	656.16	1446.0533048955374	17.171	872.4	1.1808
0.15696	635.74	1420.345857253424	17.142	858.3	1.1847
0.15027	614.77	1393.4680943669134	17.111	843.6	1.1891
0.14366	593.23	1426.8	17.078	828.2	1.194
0.13713	571.09	1335.6711408994165	17.043	812.0	1.1994
0.13067	548.54	1304.8722898030912	17.011	795.1	1.2052
0.12428	535.97	1285.481781823829	17.242	781.8	1.2004
0.11796	522.47	1264.574379233674	17.448	768.1	1.1972
0.11172	507.86	1242.0475695379669	17.626	753.9	1.1955
0.10554	491.98	1217.7631784302523	17.771	739.1	1.1953
0.09944	474.56	1191.221601779996	17.88	723.4	1.1967
0.0934	455.32	1162.1114468504154	17.947	706.6	1.1998
