State,Time (s),Latitude,Longitude
Orbital coast,2076.399999999112,-4.908655867755452,136.88391939010452
Orbital coast,2076.499999999112,-4.9107109073656545,136.88952878097422
Orbital coast,2076.599999999112,-4.912765892958225,136.8951382090949
Orbital coast,2076.6999999991117,-4.914820824510092,136.9007476744815
Orbital coast,2076.7999999991116,-4.91687570199819,136.9063571771488
Orbital coast,2076.8999999991115,-4.918930525399447,136.91196671711168
Orbital coast,2076.9999999991114,-4.920985294690801,136.91757629438507
Orbital coast,2077.0999999991113,-4.923040009849178,136.92318590898378
Orbital coast,2077.1999999991112,-4.9250946708515135,136.9287955609227
Orbital coast,2077.299999999111,-4.927149277674737,136.93440525021674
Orbital coast,2077.399999999111,-4.929203830295784,136.94001497688066
Orbital coast,2077.499999999111,-4.931258328691586,136.94562474092936
Orbital coast,2077.599999999111,-4.933312772839075,136.95123454237773
Orbital coast,2077.699999999111,-4.935367162715182,136.95684438124061
Orbital coast,2077.7999999991107,-4.93742149829684,136.9624542575329
Orbital coast,2077.8999999991106,-4.939475779560981,136.96806417126936
Orbital coast,2077.9999999991105,-4.9415300064845376,136.97367412246496
Orbital coast,2078.0999999991104,-4.943584179044443,136.97928411113446
Orbital coast,2078.1999999991103,-4.945638297217628,136.98489413729277
Orbital coast,2078.2999999991102,-4.947692360981027,136.99050420095472
Orbital coast,2078.39999999911,-4.949746370311571,136.99611430213514
Orbital coast,2078.49999999911,-4.951800325186194,137.00172444084893
Orbital coast,2078.59999999911,-4.953854225581828,137.00733461711087
Orbital coast,2078.69999999911,-4.955908071475405,137.01294483093585
Orbital coast,2078.79999999911,-4.957961862843859,137.01855508233876
Orbital coast,2078.8999999991097,-4.960015599664122,137.02416537133436
Orbital coast,2078.9999999991096,-4.962069281913126,137.0297756979375
Orbital coast,2079.0999999991095,-4.964122909567806,137.03538606216307
Orbital coast,2079.1999999991094,-4.966176482605092,137.0409964640259
Orbital coast,2079.2999999991093,-4.968230001001919,137.0466069035408
Orbital coast,2079.3999999991092,-4.97028346473522,137.05221738072265
Orbital coast,2079.499999999109,-4.972336873781928,137.05782789558623
Orbital coast,2079.599999999109,-4.974390228118977,137.06343844814643
Orbital coast,2079.699999999109,-4.976443527723297,137.06904903841803
Orbital coast,2079.799999999109,-4.978496772571823,137.0746596664159
Orbital coast,2079.899999999109,-4.980549962641488,137.08027033215484
Orbital coast,2079.9999999991087,-4.982603097909226,137.08588103564972
Orbital coast,2080.0999999991086,-4.98465617835197,137.09149177691535
Orbital coast,2080.1999999991085,-4.986709203946653,137.0971025559665
Orbital coast,2080.2999999991084,-4.9887621746702075,137.1027133728181
Orbital coast,2080.3999999991083,-4.99081509049957,137.10832422748493
Orbital coast,2080.4999999991082,-4.992867951411669,137.1139351199818
Orbital coast,2080.599999999108,-4.9949207573834435,137.11954605032355
Orbital coast,2080.699999999108,-4.9969735083918225,137.12515701852493
Orbital coast,2080.799999999108,-4.999026204413744,137.13076802460085
Orbital coast,2080.899999999108,-5.001078845426136,137.1363790685661
Orbital coast,2080.999999999108,-5.003131431405938,137.1419901504355
Orbital coast,2081.0999999991077,-5.00518396233008,137.14760127022387
Orbital coast,2081.1999999991076,-5.007236438175497,137.15321242794596
Orbital coast,2081.2999999991075,-5.009288858919121,137.15882362361668
Orbital coast,2081.3999999991074,-5.01134122453789,137.1644348572508
Orbital coast,2081.4999999991073,-5.013393535008736,137.17004612886308
Orbital coast,2081.5999999991072,-5.015445790308591,137.17565743846842
